Customer_ID,Customer_Name,Customer_Phone,Customer_Email,Customer_Address,Region,Country,Customer_Satisfaction
1086,Customer 200,+1-652-572-9306,customer.200.78@example.com,"275 Second St, Phoenix, USA",West,Canada,Neutral
1078,Customer 321,+1-311-186-5760,customer.321.13@sample.com,"478 Third St, New York, USA",South,Mexico,Satisfied
1077,Customer 989,+1-922-606-9032,customer.989.99@example.com,"843 Second St, Phoenix, USA",West,Canada,Unsatisfied
1027,Customer 682,+1-237-853-5808,customer.682.66@demo.com,"153 Main St, Phoenix, USA",South,Canada,Unsatisfied
1052,Customer 484,+1-986-360-9109,customer.484.3@sample.com,"264 Second St, New York, USA",South,Mexico,Satisfied
1074,Customer 483,+1-775-800-3339,customer.483.31@example.com,"629 Third St, Los Angeles, USA",South,USA,Unsatisfied
1061,Customer 757,+1-994-460-4335,customer.757.80@demo.com,"598 Main St, Los Angeles, USA",South,Canada,Neutral
1040,Customer 985,+1-995-296-7191,customer.985.31@demo.com,"387 Main St, Los Angeles, USA",North,Canada,Neutral
1014,Customer 795,+1-433-242-4481,customer.795.34@sample.com,"130 Third St, Los Angeles, USA",East,Mexico,Neutral
1039,Customer 826,+1-833-316-1097,customer.826.85@demo.com,"420 Third St, Chicago, USA",East,Canada,Unsatisfied
1080,Customer 116,+1-942-543-7496,customer.116.38@demo.com,"932 Second St, New York, USA",East,Canada,Satisfied
1076,Customer 417,+1-948-130-2697,customer.417.51@example.com,"755 Park Ave, Phoenix, USA",West,Canada,Unsatisfied
1097,Customer 367,+1-797-793-8108,customer.367.34@sample.com,"507 Main St, Houston, USA",East,Canada,Unsatisfied
1070,Customer 233,+1-733-608-8796,customer.233.76@sample.com,"671 Second St, New York, USA",North,Mexico,Unsatisfied
1099,Customer 191,+1-667-172-9201,customer.191.31@sample.com,"725 Second St, Houston, USA",North,USA,Satisfied
1056,Customer 891,+1-127-659-4236,customer.891.33@example.com,"482 Park Ave, New York, USA",West,Canada,Neutral
1021,Customer 770,+1-149-843-8592,customer.770.4@example.com,"886 Third St, New York, USA",North,Canada,Neutral
1036,Customer 387,+1-887-241-5885,customer.387.11@sample.com,"606 Fourth St, Los Angeles, USA",South,Canada,Neutral
1020,Customer 278,+1-947-594-3025,customer.278.41@demo.com,"640 Fourth St, Los Angeles, USA",North,Mexico,Satisfied
1096,Customer 649,+1-493-921-4569,customer.649.29@demo.com,"670 Fourth St, Los Angeles, USA",South,Mexico,Satisfied
1046,Customer 599,+1-463-466-2658,customer.599.44@example.com,"9 Park Ave, Los Angeles, USA",West,Canada,Unsatisfied
1026,Customer 516,+1-947-615-3413,customer.516.6@demo.com,"721 Park Ave, Los Angeles, USA",West,Mexico,Neutral
1018,Customer 871,+1-390-268-7586,customer.871.19@sample.com,"185 Third St, New York, USA",West,USA,Unsatisfied
1062,Customer 46,+1-487-321-1989,customer.46.98@sample.com,"522 Park Ave, Los Angeles, USA",East,Canada,Unsatisfied
1053,Customer 481,+1-128-201-1615,customer.481.48@sample.com,"634 Fourth St, Houston, USA",West,USA,Neutral
1100,Customer 671,+1-883-343-7369,customer.671.44@sample.com,"226 Third St, Houston, USA",West,Mexico,Unsatisfied
1025,Customer 744,+1-563-455-7993,customer.744.48@sample.com,"27 Main St, Phoenix, USA",North,Mexico,Satisfied
1006,Customer 375,+1-835-279-8349,customer.375.58@sample.com,"215 Main St, Houston, USA",North,Mexico,Neutral
1054,Customer 717,+1-925-588-8548,customer.717.83@sample.com,"784 Second St, Los Angeles, USA",West,USA,Satisfied
1005,Customer 136,+1-296-124-1713,customer.136.62@sample.com,"378 Fourth St, Los Angeles, USA",West,USA,Neutral
1081,Customer 651,+1-151-114-4395,customer.651.72@example.com,"679 Second St, New York, USA",East,Canada,Satisfied
1012,Customer 779,+1-222-424-8848,customer.779.96@sample.com,"668 Main St, Chicago, USA",North,Canada,Satisfied
1004,Customer 902,+1-255-592-9077,customer.902.21@sample.com,"844 Park Ave, Chicago, USA",North,Mexico,Satisfied
1007,Customer 612,+1-353-498-3172,customer.612.65@sample.com,"529 Second St, Houston, USA",South,Canada,Neutral
1092,Customer 50,+1-820-771-8159,customer.50.82@example.com,"917 Main St, New York, USA",West,Mexico,Unsatisfied
1085,Customer 8,+1-732-418-8559,customer.8.54@example.com,"599 Fourth St, Los Angeles, USA",West,Canada,Satisfied
1064,Customer 330,+1-864-296-9833,customer.330.49@demo.com,"733 Fourth St, New York, USA",West,Mexico,Unsatisfied
1082,Customer 804,+1-773-703-7143,customer.804.74@demo.com,"358 Park Ave, Los Angeles, USA",East,Canada,Satisfied
1048,Customer 875,+1-495-388-2235,customer.875.23@example.com,"470 Main St, Phoenix, USA",West,Canada,Unsatisfied
1003,Customer 932,+1-807-302-5142,customer.932.26@demo.com,"993 Fourth St, New York, USA",South,USA,Neutral
1011,Customer 336,+1-526-586-7347,customer.336.80@sample.com,"37 Third St, Phoenix, USA",North,USA,Neutral
1049,Customer 881,+1-431-747-1862,customer.881.52@example.com,"540 Third St, Phoenix, USA",North,USA,Neutral
1075,Customer 322,+1-961-798-7940,customer.322.9@sample.com,"458 Third St, Los Angeles, USA",North,Canada,Neutral
1069,Customer 427,+1-620-133-5323,customer.427.12@example.com,"498 Second St, Chicago, USA",South,Canada,Unsatisfied
1059,Customer 801,+1-854-646-4405,customer.801.8@sample.com,"642 Main St, New York, USA",West,USA,Unsatisfied
1008,Customer 592,+1-641-491-3279,customer.592.37@sample.com,"781 Main St, Los Angeles, USA",North,Mexico,Satisfied
1093,Customer 853,+1-847-925-2586,customer.853.89@example.com,"88 Park Ave, Chicago, USA",West,USA,Unsatisfied
1038,Customer 493,+1-729-976-2630,customer.493.68@demo.com,"815 Second St, Phoenix, USA",South,Canada,Satisfied
1017,Customer 930,+1-801-262-3640,customer.930.18@sample.com,"804 Fourth St, Phoenix, USA",East,Canada,Neutral
1002,Customer 701,+1-325-284-4011,customer.701.52@sample.com,"337 Third St, New York, USA",South,USA,Unsatisfied
1073,Customer 937,+1-835-362-2449,customer.937.86@sample.com,"387 Main St, Phoenix, USA",West,Mexico,Satisfied
1037,Customer 886,+1-768-592-1846,customer.886.11@sample.com,"758 Fourth St, Chicago, USA",West,Canada,Satisfied
1083,Customer 569,+1-113-958-3293,customer.569.27@demo.com,"564 Main St, Phoenix, USA",West,USA,Unsatisfied
1016,Customer 787,+1-568-209-7496,customer.787.40@demo.com,"524 Fourth St, Los Angeles, USA",South,USA,Unsatisfied
1047,Customer 762,+1-429-969-5858,customer.762.21@demo.com,"451 Main St, Los Angeles, USA",South,Mexico,Unsatisfied
1023,Customer 614,+1-661-704-3939,customer.614.58@sample.com,"542 Third St, Chicago, USA",North,Canada,Unsatisfied
1068,Customer 938,+1-265-791-9619,customer.938.79@sample.com,"358 Third St, Houston, USA",South,Mexico,Neutral
1041,Customer 460,+1-680-920-9315,customer.460.60@demo.com,"930 Main St, Phoenix, USA",West,Mexico,Neutral
1063,Customer 10,+1-387-912-7521,customer.10.74@demo.com,"443 Fourth St, Phoenix, USA",South,Mexico,Unsatisfied
1095,Customer 51,+1-507-618-1268,customer.51.59@example.com,"440 Main St, Phoenix, USA",South,Canada,Satisfied
1098,Customer 688,+1-443-596-4484,customer.688.28@demo.com,"233 Second St, Chicago, USA",North,Canada,Unsatisfied
1055,Customer 243,+1-408-477-9327,customer.243.94@sample.com,"849 Third St, Los Angeles, USA",South,USA,Neutral
1079,Customer 961,+1-926-340-5318,customer.961.33@sample.com,"973 Fourth St, Los Angeles, USA",East,Mexico,Satisfied
1057,Customer 390,+1-619-697-8512,customer.390.49@sample.com,"839 Third St, Houston, USA",South,USA,Unsatisfied
1051,Customer 133,+1-216-557-3021,customer.133.4@example.com,"144 Second St, Los Angeles, USA",West,USA,Unsatisfied
1009,Customer 653,+1-795-971-9198,customer.653.25@demo.com,"894 Park Ave, Los Angeles, USA",West,USA,Neutral
1024,Customer 311,+1-135-946-5517,customer.311.1@example.com,"691 Fourth St, Phoenix, USA",South,Mexico,Unsatisfied
1033,Customer 724,+1-615-833-2985,customer.724.84@demo.com,"754 Fourth St, Los Angeles, USA",South,USA,Satisfied
1034,Customer 498,+1-807-278-6167,customer.498.37@sample.com,"970 Fourth St, Houston, USA",West,Mexico,Unsatisfied
1022,Customer 331,+1-342-923-1723,customer.331.58@example.com,"915 Main St, Houston, USA",South,Canada,Unsatisfied
1035,Customer 327,+1-229-391-3959,customer.327.14@sample.com,"62 Third St, Los Angeles, USA",North,Canada,Neutral
1031,Customer 684,+1-679-283-4266,customer.684.14@example.com,"423 Main St, New York, USA",North,Canada,Unsatisfied
1088,Customer 931,+1-269-400-3421,customer.931.35@demo.com,"344 Main St, Phoenix, USA",South,USA,Unsatisfied
1030,Customer 546,+1-559-988-3968,customer.546.11@sample.com,"36 Second St, New York, USA",South,Mexico,Satisfied
1060,Customer 620,+1-976-679-8537,customer.620.14@demo.com,"519 Second St, Los Angeles, USA",East,Mexico,Unsatisfied
1072,Customer 354,+1-784-434-4283,customer.354.91@demo.com,"266 Third St, New York, USA",South,Mexico,Neutral
1067,Customer 125,+1-326-762-5363,customer.125.73@example.com,"67 Second St, Houston, USA",East,Mexico,Neutral
1042,Customer 840,+1-470-356-2720,customer.840.90@demo.com,"27 Park Ave, Houston, USA",East,USA,Neutral
1032,Customer 48,+1-539-274-7023,customer.48.64@example.com,"427 Third St, New York, USA",South,USA,Neutral
1001,Customer 472,+1-150-546-8437,customer.472.57@example.com,"554 Third St, New York, USA",North,Mexico,Neutral
1087,Customer 630,+1-300-241-9086,customer.630.61@sample.com,"905 Main St, New York, USA",South,Mexico,Unsatisfied
1090,Customer 152,+1-792-763-7723,customer.152.54@example.com,"605 Second St, Houston, USA",South,Canada,Neutral
1071,Customer 507,+1-672-408-2561,customer.507.63@example.com,"308 Fourth St, Los Angeles, USA",South,USA,Unsatisfied
1084,Customer 522,+1-410-511-9933,customer.522.9@sample.com,"30 Park Ave, Chicago, USA",South,Mexico,Satisfied
1065,Customer 876,+1-788-120-5411,customer.876.41@demo.com,"738 Fourth St, New York, USA",East,Mexico,Unsatisfied
1013,Customer 844,+1-155-840-9273,customer.844.62@sample.com,"597 Second St, Houston, USA",South,Canada,Neutral
1089,Customer 443,+1-339-460-9898,customer.443.70@sample.com,"29 Park Ave, Los Angeles, USA",North,USA,Neutral
1045,Customer 693,+1-360-222-5326,customer.693.24@sample.com,"420 Third St, Houston, USA",East,Mexico,Satisfied
1044,Customer 754,+1-841-605-8143,customer.754.48@example.com,"791 Park Ave, Phoenix, USA",West,USA,Satisfied
1028,Customer 973,+1-117-914-5509,customer.973.8@example.com,"959 Second St, Phoenix, USA",East,Canada,Satisfied
